iter	Logloss
0	0.6523326883
1	0.6192028353
2	0.5854239429
3	0.5532867053
4	0.5274643893
5	0.5031784676
6	0.4815605529
7	0.4646339057
8	0.4450218875
9	0.4310058956
10	0.4182675382
11	0.4040367961
12	0.3919125689
13	0.3818488886
14	0.3712028213
15	0.362360942
16	0.3549673432
17	0.3471191811
18	0.3417987697
19	0.3358855239
20	0.3297620567
21	0.3241573524
22	0.3187917855
23	0.3142221619
24	0.3103357795
25	0.3049822723
26	0.3010654176
27	0.297732117
28	0.2950984583
29	0.292294937
30	0.2887492911
31	0.2858957443
32	0.2835160687
33	0.2805441478
34	0.2778612244
35	0.2750172324
36	0.2729226771
37	0.2708974099
38	0.269141919
39	0.2674591685
40	0.2658837918
41	0.2637711837
42	0.2624989202
43	0.2608995801
44	0.2595507402
45	0.2576437793
46	0.2565416409
47	0.2553843606
48	0.2538342824
49	0.2521871846
50	0.2504941559
51	0.2487547458
52	0.2477874383
53	0.2470968408
54	0.2457492094
55	0.2444179054
56	0.243624423
57	0.2425385667
58	0.2420748059
59	0.2408179411
60	0.240322666
61	0.2398360169
62	0.2385887495
63	0.2380338916
64	0.2367915021
65	0.2357499592
66	0.2352871443
67	0.2346758601
68	0.2340953852
69	0.233741639
70	0.2332676159
71	0.2323205637
72	0.2317086692
73	0.231069291
74	0.2304599907
75	0.229993677
76	0.2296859683
77	0.2293170072
78	0.228980184
79	0.2287734788
80	0.2279445943
81	0.2276967868
82	0.2275098507
83	0.2273178234
84	0.2270625305
85	0.2266504339
86	0.2264706741
87	0.2261462823
88	0.2257042144
89	0.2252313412
90	0.2248524564
91	0.2244839204
92	0.2243270594
93	0.2240925068
94	0.223367781
95	0.2229127461
96	0.2226925676
97	0.2224639922
98	0.2217433049
99	0.2215806173
100	0.221061059
101	0.2206713709
102	0.2204404185
103	0.2202002978
104	0.2199409837
105	0.2197891126
106	0.2196070904
107	0.2194239583
108	0.2188320087
109	0.2185780975
110	0.2184279612
111	0.2182531487
112	0.2179576529
113	0.2176416579
114	0.2174067069
115	0.2172268339
116	0.2171456087
117	0.2170173013
118	0.2168096821
119	0.2166952852
120	0.2158333915
121	0.2156204666
122	0.2154364284
123	0.2152924186
124	0.2151661672
125	0.2150049386
126	0.2149296973
127	0.2146445383
128	0.2145153782
129	0.2143105052
130	0.2139379506
131	0.2138039565
132	0.2137129141
133	0.2133714621
134	0.2130939418
135	0.2128376882
136	0.212739183
137	0.2124761181
138	0.2124079719
139	0.2122577144
140	0.2118634282
141	0.2117848478
142	0.211540911
143	0.2112516163
144	0.2110510988
145	0.2108667675
146	0.2107383843
147	0.2105381773
148	0.2104016823
149	0.2102779078
150	0.2101484719
151	0.2096550675
152	0.2095476511
153	0.2094424664
154	0.2091333028
155	0.2089643222
156	0.2086859532
157	0.2083491073
158	0.2082699967
159	0.2080347725
160	0.2079361873
161	0.2078554858
162	0.2077206003
163	0.2072818875
164	0.2071461972
165	0.2070256792
166	0.2068882475
167	0.2068148968
168	0.2066876954
169	0.206490036
170	0.2063200015
171	0.2062010823
172	0.2060823284
173	0.205999407
174	0.2058536744
175	0.2057854562
176	0.2056705943
177	0.2054623275
178	0.2053659728
179	0.2052788943
180	0.2051943367
181	0.2050913412
182	0.2045371175
183	0.2044130619
184	0.2042531324
185	0.2041952071
186	0.2041003753
187	0.2040117113
188	0.203910276
189	0.2037450116
190	0.2034908832
191	0.2034026082
192	0.2032145181
193	0.2028611956
194	0.2027408721
195	0.2026356795
196	0.2025265615
197	0.2024126229
198	0.2022510919
199	0.2020878114
200	0.2018311741
201	0.201723667
202	0.2016047039
203	0.2015430292
204	0.2012357615
205	0.2010930881
206	0.2010192525
207	0.2008962868
208	0.2007239485
209	0.2006156167
210	0.2005326474
211	0.2004271296
212	0.2003816584
213	0.2003146274
214	0.2002557507
215	0.2001982518
216	0.2001356604
217	0.1999843743
218	0.1999360077
219	0.199880133
220	0.1998080308
221	0.1997016803
222	0.1995188933
223	0.1994172102
224	0.1992137161
225	0.1987245888
226	0.198668301
227	0.1985974473
228	0.1984962666
229	0.1983179565
230	0.1982519141
231	0.1980434049
232	0.1978867171
233	0.1978507846
234	0.1977143576
235	0.1976147358
236	0.1975114711
237	0.1973810559
238	0.1973029605
239	0.1971676314
240	0.1970753605
241	0.1969742264
242	0.1968580373
243	0.1967045421
244	0.1966133957
245	0.1965486684
246	0.1964737775
247	0.1963637815
248	0.1961777567
249	0.1960992403
250	0.1960101526
251	0.1958267979
252	0.1957246872
253	0.1954840868
254	0.1953924727
255	0.1953041205
256	0.1952132499
257	0.1950325201
258	0.1948297776
259	0.1946737387
260	0.1945967186
261	0.1945485999
262	0.1944724512
263	0.1943173916
264	0.1939918393
265	0.1939000067
266	0.1937173183
267	0.1935969109
268	0.1935474797
269	0.1933898486
270	0.1932195183
271	0.1931216619
272	0.1930459676
273	0.1929367963
274	0.1927490421
275	0.1926143578
276	0.192530601
277	0.1924919331
278	0.1923957982
279	0.1922510955
280	0.1921576228
281	0.1920592734
282	0.1919932803
283	0.1918590784
284	0.1917566385
285	0.1916625329
286	0.1915594135
287	0.1914954604
288	0.1914204375
289	0.1913347767
290	0.1912699282
291	0.19119213
292	0.1911641573
293	0.191061363
294	0.1908548284
295	0.1907709237
296	0.1906917318
297	0.1906229433
298	0.1903792024
299	0.190281865
300	0.1901382142
301	0.1899742562
302	0.1898874808
303	0.1897555147
304	0.1896215213
305	0.1895298053
306	0.1894335285
307	0.1893556917
308	0.1892538567
309	0.1891189732
310	0.1889362622
311	0.1887694641
312	0.1886506942
313	0.1885278324
314	0.1884441422
315	0.1883249533
316	0.1882159559
317	0.1881148591
318	0.1880762165
319	0.1879888342
320	0.187825647
321	0.1876837011
322	0.1875744179
323	0.1875087366
324	0.1874203937
325	0.1873074844
326	0.1872071797
327	0.18710063
328	0.1869786576
329	0.186799123
330	0.1866792552
331	0.1866121302
332	0.1865081168
333	0.1863886686
334	0.1862215694
335	0.1860962507
336	0.1860161294
337	0.1859276299
338	0.1858509409
339	0.1857211446
340	0.1856725788
341	0.1855577408
342	0.1855073157
343	0.1854385838
344	0.1853542434
345	0.1852076248
346	0.1850468625
347	0.1849302191
348	0.1849246876
349	0.1848795628
350	0.184794812
351	0.1846811692
352	0.1845451046
353	0.1844818896
354	0.1843209808
355	0.1841724947
356	0.1840833876
357	0.1839973258
358	0.1838900946
359	0.1837716697
360	0.1836382866
361	0.1835377287
362	0.1834334088
363	0.1833788738
364	0.1832491581
365	0.1831832543
366	0.1830947408
367	0.1828188521
368	0.1827449819
369	0.1826534598
370	0.1825572283
371	0.1825104006
372	0.1823961556
373	0.182344418
374	0.1822465383
375	0.1821555665
376	0.1820628372
377	0.1819762977
